,Document,Category
9228,"Stravinsky: where to start with his music Of the composers who spearheaded modernism in music at the beginning of the 20th century, it has been Igor Stravinsky (1882-1971) whose influence has …",Music
9229,"Tim Smith, frontman of cult band Cardiacs, dies aged 59 Tim Smith, frontman with cult British band Cardiacs, has died aged 59. The news was confirmed by his bandmate Kavus Torabi. Another band representativ …",Music
9230,"Once There Was Brasília review – sci-fi odyssey into Brazil's murky politics Brazilian director Adirley Queirós here cobbles together something comparable, though far more lo-fi, to Wong Kar-wai’s 2046: a haunted, backwards-loo …",Film
9231,Four-year-old lands book deal for his 'astonishing' poetry Keats’s first book of poetry was published when he was 21; Mary Shelley was 18 when she started writing Frankenstein. But both of their youthful achie …,Books
9232,Author loses spot in Top 10 after buying 400 copies of his own book Author Mark Dawson has lost his Top 10 position in the Sunday Times bestseller charts for his thriller The Cleaner after revealing that he bought 400 …,Books
9233,"Annie Ross, British-American jazz singer and actor, dies aged 89 Annie Ross, the British singer who became globally famous with jazz vocal trio Lambert, Hendricks & Ross and had a varied acting career, has died aged …",Music
9234,"Labour pays out six-figure sum and apologises in antisemitism row The Labour party has apologised “unreservedly” and paid out a six-figure sum to seven former employees and a veteran BBC journalist, admitting it defa …",Politics
9235,"Harry Dunn death: UK closes loophole that let accused claim immunity The foreign secretary, Dominic Raab, has announced the closing of secret legal loophole that allowed Harry Dunn’s alleged killer Anne Sacoolas to clai …",Politics
9236,"Eliza Clark: 'I'm from Newcastle and working class. To publishers, I'm diverse' The dedication in Eliza Clark’s Boy Parts sets the tone for the tale that follows: “For my mother and father. Please don’t read this.” The novel, a de …",Books
9237,Man jailed for stealing phone from David Cameron's father-in-law David Cameron’s father-in-law has described feeling depressed and anxious after he was robbed in the grounds of his private estate in north Lincolnshi …,UK-News
9238,Alice review – sex-worker drama fails to sell its preposterous premise This debut feature from Australian director Josephine Mackerras was a success at last year’s SXSW festival; it is well acted and all hangs together in …,Film
9239,"Cardiacs' Tim Smith: a one-man subculture who inspired total devotion If Tim Smith influenced you, he really influenced you. His legacy following his death aged 59 might be small in the wider realm of pop, but for many o …",Music
9240,Grenfell refurbishment firm called residents who complained 'rebels' The builder in the Grenfell Tower refurbishment branded residents who questioned the quality of works as “rebels” and complained that they were “persi …,UK-News
9241,Kim Kardashian requests compassion for Kanye West's bipolar disorder Kim Kardashian West has spoken for the first time about her husband Kanye West’s bipolar disorder after he posted and deleted a string of erratic twee …,Music
9242,"US dollar weakens as gold and silver soar – as it happened And finally, European stock markets have closed in the red. The FTSE 100 lost 1%, or 62 points, to 6207 points. France’s CAC shed 1.3%, with Spain dow …",Business
9243,"Revealed: US spends millions of taxpayer dollars on ineffective voting restrictions Restrictive “voter identification” laws pushed by Republicans, and widely regarded to be ineffective and discriminatory, have cost taxpayers at least …",US-News
9244,"Boris is the emperor with no clothes and it’s not a pretty sight A more fruitful strategy for Boris Johnson at prime minister’s questions might be damage limitation. To accept that Keir Starmer is far brighter, bett …",Politics
9245,"Test and trace failing to contact thousands in England's worst-hit areas The government’s flagship test-and-trace system is failing to contact thousands of people in areas with the highest infection rates in England, raisin …",Politics
9246,"The Good Girls review – a high-class skewering of Mexican decadence There is enormous clarity and control in this film from Mexican director Alejandra Márquez Abella, and a tremendous lead performance from Ilse Salas. …",Film
9247,"‘Eat out to help out’: thousands of food outlets yet to sign up for scheme Only a quarter of the restaurants, cafes and pubs eligible to sign up for the government’s ‘eat out to help out’ scheme have done so, with less than t …",Business
9248,"Julian Lewis warns Dominic Cummings not to politicise ISC inquiries Julian Lewis, the new chair of parliament’s intelligence and security committee (ISC), has demanded that ministers prevent Dominic Cummings and other …",Politics
9249,UK politics: Corbyn criticises Labour's decision to settle antisemitism libel case – as it happened Jeremy Corbyn has criticised Labour after the party apologised “unreservedly” and paid out a six-figure sum to seven former employees and a veteran BB …,Politics
9250,"Stagecoach plans job cuts and predicts bus passenger reduction is long term The coronavirus pandemic will lead to a long-term reduction in the number of people travelling to work or the shops, one of Britain’s biggest bus oper …",Business
9251,"Australian Olympic sports count cost without Tokyo 2020 But for a global pandemic, the heads of Australia’s Olympic sports would have been in Tokyo this week, waiting anxiously for the 2020 Games to begin o …",Sport
9252,"Receptionist job in Manchester diner gets 1,000 applications in 24 hours The Manchester restaurant 20 Stories, a popular hangout for the cast of Coronation Street, received nearly 1,000 applications for a receptionist post …",Business
9253,"Amber Heard said Johnny Depp tried to suffocate her with pillow, court told Amber Heard had a cut lip and bruises that she said had been inflicted by Johnny Depp, who she said had tried to suffocate her with a pillow, Heard’s …",Film
9254,"Fledgling brewers say Treasury tax overhaul poses jobs threat A Treasury overhaul of the way breweries are taxed has come under under fire, amid claims that up-and-coming craft beer makers will lose out so larger …",Business
9255,Republican governors face decision on masks: follow Trump or protect citizens? The spread of coronavirus across the American south has forced many Republican governors to choose: issue a mask mandate to try to force residents to …,US-News
9256,Jets star Jamal Adams rips team owner Johnson over report of racist comments New York Jets star Jamal Adams has called out team owner Woody Johnson amid reports he was investigated for allegations of controversial remarks and d …,Sport
9257,Antisemitism settlement plunges Labour party into civil war Labour’s decision to pay a six-figure libel settlement to ex-staffers who claimed the party was failing to deal with antisemitism has plunged the part …,Politics
9258,"'Enemy of democracy': Oligarch says Putin wants to harm UK In the wake of the long-awaited publication of the Russia report into interference in UK democracy, one of the most prominent Soviet-born donors to th …",UK-News
9259,"California surpasses New York as state with most coronavirus cases after record day California has recorded its highest number of new Covid-19 cases in a single day, as the state surpassed New York for the most total cases in the coun …",US-News
9260,"Trump announces 'surge of federal law enforcement' in US cities – as it happened From me and Joan E Greve: Daily coronavirus deaths in the US surpassed 1,000 yesterday for the first time since 2 June. In another coronavirus briefin …",US-News
9261,"'A hell of a year': Tories reflect on 12 months led by Boris Johnson When Boris Johnson sailed into a meeting of the 1922 Committee of Tory backbenchers on the wave of a seismic election victory, he joked that he was lo …",Politics
9262,"Controversial immigration detention centre in Lincolnshire to close A controversial immigration detention centre where several deaths have occurred in recent years is to close. Morton Hall in Swinderby, Lincolnshire, w …",UK-News
9263,"Murder on the Middle Passage by Nicholas Rogers review – slavery and the British empire You are trapped in a net cast by a white man reeking of rum and smoke, and then dragged miles to the coast. You are processed, bound into chains, and …",Books
9264,"US ambassador to UK accused of making racist and sexist remarks The US ambassador to the UK, Woody Johnson, was reportedly investigated by a state department watchdog over alleged racist and sexist comments to staf …",US-News
9265,"Rishi Sunak urged to plug furlough scheme gaps for 1m workers The chancellor, Rishi Sunak, has been criticised by MPs for “drawing a line” under concerns that more than a million people have missed out on the gov …",Business
9266,"Boris Johnson praises 'sheer might' of UK as he heads to Scotland The experience of the pandemic has underlined the “sheer might” of the union, Boris Johnson has said as he prepares to visit Scotland for the first ti …",UK-News
9267,"I dated my girlfriend for five years – but I never met her Your message wasn’t delivered to because the address couldn’t be found, or is unable to receive mail. Surprised, I considered the notification, checke …",Life-and-Style
9268,"Stage Mother review – drag-queen heartwarmer never rises above tepid There’s something hectoring, mawkish and underpowered about Stage Mother. Jacki Weaver plays Maybelline, a small-town Texan housewife who is the choir …",Film
9269,"The Liar’s Dictionary by Eley Williams review – big ideas in a minor key Eley Williams won prizes and delighted readers with Attrib. and Other Stories (2017), a collection in which dazzled celebrations of love were insepara …",Books
9270,"Rugby Australia’s mega-bucks swoop for teenager comes loaded with potential problems Rugby Australia is seeking to deliver a rare coup, but is gambling the future of the game on a child prodigy who may or may not ever fulfil his potent …",Sport
9271,British Airways pilots to vote on deal to cut jobs and pay British Airways pilots are to vote on a deal struck between the Balpa union and airline management that would involve at least 270 losing their jobs a …,Business
9272,"First Thing: is Trump a 'law and order' president, or a lawless one? Good morning, Donald Trump has announced a “surge” of US troops – not into Iraq or Afghanistan, but into the streets of American cities. The president …",US-News
9273,"Momentum founder apologises for joining Labour attack on whistleblowers Jon Lansman, the founder of Momentum, has apologised for joining Labour’s attack on the whistleblowers who broke their silence about the party’s handl …",Politics
9274,Mercury prize 2020: where are the albums dragged from the fringes? The Mercury music prize has caused controversy before – over everything from representation to Slowthai appearing on stage brandishing an effigy of Bo …,Music
9275,"Mercury prize 2020: Stormzy, Dua Lipa and Michael Kiwanuka among nominees Stormzy, Dua Lipa, Laura Marling and Michael Kiwanuka are among the artists competing for 2020’s Mercury prize, arguably the most prestigious award in …",Music
9276,"Jim Carrey's 20 best film performances – ranked! 20. The Number 23 (2007) By and large, Jim Carrey either makes good films or very, very bad films. The latter includes mush such as The Majestic, come …",Film
9277,"Jessy Lanza: All the Time review – a bright star in pop's outer galaxies Last week, Jessy Lanza livestreamed a performance-slash-DJ set. Nothing unusual in that, of course. You currently can’t move for artists, producers an …",Music
9278,"Spy Intervention review – a film without a quantum of solace It’s long been a complaint that all the big awards go to tragic dramas, while comedy, especially farce, is much harder to pull off. Nothing illustrate …",Film
9279,"Taylor Swift announces surprise album, Folklore, with the National and Bon Iver Taylor Swift has announced the surprise release of her eighth album, Folklore. The Grammy-winning songwriter produced and co-wrote much of the album a …",Music
9280,CBI reports record drop in UK manufacturing as total orders dip Hopes of a rebound in manufacturing output in the three months to July have been dashed by figures from the Confederation of British Industry that sho …,Business
9281,"Despite the dire Brexit warnings, a deal is still the likely outcome It will all sound very familiar to those who have taken a cursory interest in the Brexit circus over the last four years. The clock is ticking, says t …",Politics
9282,"Do you have coronafeirws? Covid dictionary keeps Welsh speakers fluent The Covid-19 crisis has led to some unfamiliar and little-used English words, phrases and concepts becoming all too common: furlough, lockdown and shi …",UK-News
9283,"Has Terrordome's time come? How a black British film found its moment Reissues and revivals are not uncommon in cinema, but it is not often that a film has the chance of a total critical makeover. That seems to be what i …",Film
9284,"Brexit trade deal is 'unlikely' by end of the year, says Barnier Michel Barnier has said a trade and security deal with Boris Johnson’s government by the end of the year appeared “unlikely”, as he complained that Br …",Politics
9285,Elton John’s ex-wife tells court she changed identity to shed ties to singer Sir Elton John’s ex-wife Renate Blauel adopted a new identity and went into hiding in a British village in an attempt to shed her connection to the si …,Music
9286,"Have working conditions improved at the Sports Direct warehouse? When Mike Ashley was hauled in front of a parliamentary select committee in 2016, the Sports Direct boss was very clear about his company’s principal …",Business
9287,"Police order removal of 'white silence is violence' banner in London Police have ordered the removal of a banner hanging above a high street in north London that read “white silence is violence”, allegedly claiming it w …",UK-News
9288,"King George: Gosden not expecting 'sinister' tactics as Enable faces three John Gosden said on Thursday that he does not expect to “see anything too sinister” unfolding at Ascot on Saturday when Enable, the odds-on favourite, …",Sport
9289,Fixture pile-up means England may face Six Nations destiny without star players England could be missing a host of frontline stars when they go in pursuit of the Six Nations title in October with Premiership clubs set to keep hold …,Sport
9290,"Nick Cave: Idiot Prayer review – livestreamed gig is not just solo, but starkly alone In pre-pandemic times, a concert such as Nick Cave’s Idiot Prayer would have been called a solo show. Not so this one, filmed by Oscar-nominated cinem …",Music
9291,Mike Tyson comeback fight with Roy Jones Jr confirmed for September Mike Tyson will make his widely speculated return to the prize ring for an exhibition bout against four-division world champion Roy Jones Jr on 12 Sep …,Sport
9292,"Ghislaine Maxwell case: ‘extremely personal’ documents to be unsealed An extensive collection of “extremely personal” documents in civil litigation against British socialite Ghislaine Maxwell can be unsealed, a Manhattan …",US-News
9293,"Boris visited Scotland to save the union. Mission accomplished — for the SNP During Wednesday’s PMQs, the SNP’s leader in Westminster, Ian Blackford, had implored Boris Johnson and any other cabinet minister to visit Scotland. …",Politics
9294,"Andrew Johnston explains why he quit British Masters after nine holes The European Tour has provided support to Andrew Johnston after the Englishman withdrew following nine holes of the British Masters on Wednesday, citi …",Sport
9295,"West Indies captain Jason Holder '100% behind' Shai Hope before third Test West Indies sit one win away from turning a commendable tour of England into a historic one and their captain, Jason Holder, appears minded to stick w …",Sport
9296,"Three teenagers shot in north London Two children and a young man have been shot and seriously wounded in Tottenham, north London, police said. A 19-year-old suffered life-threatening inj …",UK-News
9297,UK coronavirus: Sturgeon accuses PM of using Covid crisis as 'political weapon' by 'crowing' about union — as it happened Boris Johnson has been accused of tastelessly exploiting the coronavirus crisis to boost support for the union on his first visit to Scotland since th …,Politics
9298,"Sturgeon accuses Johnson of using Covid-19 as 'political weapon' Boris Johnson was accused of using the coronavirus pandemic “as some kind of political weapon” by Scotland’s first minister, Nicola Sturgeon, against …",Politics
9299,"Windrush campaigner Paulette Wilson dies aged 64 Paulette Wilson, a prominent Windrush campaigner who was wrongly detained and threatened with deportation by the Home Office, has died unexpectedly at …",UK-News
9300,DoJ to investigate federal forces' tactics in US cities as mayors condemn Trump The justice department inspector general said on Thursday it would conduct a review of the conduct of federal agents who responded to unrest in Portla …,US-News
9301,MLB teams kneel before season openers as Yankees and Dodgers see wins The Nationals and Yankees knelt in unison before the first game of the baseball season as part of an opening day ceremony Thursday night that featured …,Sport
9302,"My pandemic epiphany: realizing the hole in my life was cat-shaped I’ve lived in the same place for nine years, but it’s always felt like a temporary arrangement. For much of that time my name was never on the lease, …",Life-and-Style
9303,"Alanis Morissette: 'Without therapy, I don't think I'd still be here' In the video for her new single, Reasons I Drink, Alanis Morissette appears in a group addiction meeting. The song, set to stabbing piano, traces the …",Music
9304,"Here's an idea that could earn the government £400bn in 25 years The UK’s public finances are “on an unsustainable path”, the Office for Budget Responsibility said last week. Since it has been saying as much for yea …",Business
9305,"Take a chance, turn on shuffle: you might hit the jackpot Most people have favourite songs, and the majority of the time we hear them by our own hand. For the most part, I don’t agree with the sentiment that …",Life-and-Style
9306,"Jacki Weaver: 'Michael Powell said I was headed for great things. He didn't tell me it would take 50 years' Jacki Weaver is thinking about how her life has changed. “To find yourself in bed with Robert De Niro is an extraordinary thing for a woman of my age, …",Film
9307,The Rifleman review – Latvian war epic aims high The Rifleman is the top-grossing film of all time at the Latvian box office and if you had to guess at the kind of film that would inspire such nation …,Film
9308,"The Crown in Crisis by Alexander Larman review – abdication, assassination and the Nazis It says something about how close the abdication of 1936 has come to slipping from living memory that Alexander Larman feels obliged to plant broad re …",Books
9309,"American carnage: how conservative media amplify Trump's theme of chaos Mayors across the United States have rejected Donald Trump’s election-season depiction of their cities as awash in violence, and media coverage of pea …",US-News
9310,"Florida hospitals stretched to capacity by acute coronavirus outbreak The emergency department at Jackson Memorial Hospital, wedged between Little Havana and the vibrant murals of Wynwood in Miami, has overflowed with Co …",US-News
9311,Five-day final planned for Bob Willis Trophy as ECB unveils summer fixtures The England and Wales Cricket Board has finalised its plans for the domestic season by releasing the fixtures and groups for the Bob Willis Trophy and …,Sport
9312,"Mel Gibson was hospitalised with coronavirus in April The actor Mel Gibson spent a week in hospital after contracting coronavirus earlier this year, his representatives have confirmed. Speaking to the Dai …",Film
9313,"Maria Schneider Orchestra: Data Lords review – digital dystopia in jazz When Maria Schneider led her long-running jazz orchestra in a 2015 London performance of that year’s release The Thompson Fields, the great American c …",Music
9314,"Children’s books roundup – the best new picture books and novels Homeschool may be out for the summer, but there’s new reading aplenty. For nine-plus, Victoria Jamieson, award-winning author-illustrator of Roller Gi …",Books
9315,"Kamaal Williams: Wu Hen review – jazz-soul revivalist's fitful return Coming to prominence in 2016 as one half of jazz duo Yussef Kamaal, producer and pianist Kamaal Williams spearheaded the London-based revival of the g …",Music
9316,"Texas childcare facilities thrown into chaos amid coronavirus crisis Tricia Cruz, a certified medical assistant, refilled prescriptions from home with her toddler until her husband got off his 2am shift with UPS. Then, …",US-News
9317,"Experience: I’m retiring at 100 years old For 67 years, I have run the bakery and shop in the village of Guiting Power in Gloucestershire. I still get up at 5am every day and work till we shut …",Life-and-Style
9318,"New Yorkers vote in special contest to reimagine famous Brooklyn Bridge The coronavirus pandemic has disrupted much of New York City’s normal rhythms of travel, with many people now hopping on to bicycles rather than the s …",US-News
9319,Chad Wolf: who is the Trump official leading the crackdown in Portland? Chad Wolf wasn’t Donald Trump’s first pick for homeland security secretary – he wasn’t even his fifth or sixth. But now he is the figurehead for the f …,US-News
9320,"Emma Donoghue: 'Wooster’s sweetly foolish flippancy is just the tonic for Covid-19 times' The book I am currently reading James Meek’s To Calais, In Ordinary Time is an absolute dazzler of a story about folk highborn and low about to encoun …",Books
9321,"Should we snoop on our nine-year-old's covert internet use? We have three daughters, aged four, six and nine. The eldest has discovered TikTok and is crazy about it. Understandably, she influences what the othe …",Life-and-Style
9322,Digested week: If I can't watch Spurs I'll have a good cry at the opera Monday With so many more people taking holidays in the UK this year – I’m told the Lake District was rammed last week – I can’t help feeling that publ …,UK-News
9323,"Sainsbury’s and Asda say they won't enforce English face mask laws Big high street names have said they will not ask staff to enforce a new law that makes wearing a face mask compulsory in shops in England, despite ca …",Business
9324,"'Free speech has never been freer': Pankaj Mishra and Viet Thanh Nguyen in conversation Pankaj Mishra: Black Lives Matter has forced a long overdue re-examination, from the perspectives of history’s long-term losers, of everything, not on …",Books
9325,"How gyms and swimming pools in England will look as lockdown eases The easing of lockdown restrictions in England means that from Saturday indoor gyms, swimming pools and sports facilities can reopen to the public. Ho …",Business
9326,One in three public leisure centres in England to remain shut as funds dry up Approximately a third of England’s public leisure centres will remain closed on Saturday as a widespread picture of financial distress among community …,Business
9327,"Paulette Wilson: 'a precious gem … broken by the UK government' Paulette Wilson, a prominent Windrush campaigner who has died unexpectedly at the age of 64, was a “precious gem … broken by the government”, a family …",UK-News
9328,"‘Please don’t take my man’: Dolly Parton and Jolene’s enduring legacy Of the quirkiest pop tropes, such as saying hello from the other side, being the baaaad guy and, of course, there being absolutely no party like an S …",Music
9329,"Wiley posts antisemitic tweets, likening Jews to Ku Klux Klan Wiley, the chart-topping grime rapper and producer, has made antisemitic comments on Twitter, including a statement that places Jews alongside the Ku …",Music
9330,"Without Paulette Wilson, Windrush might have remained hidden In August 2015, Paulette Wilson received a letter telling her she faced deportation to a country she had left as a child nearly 50 years earlier. The …",UK-News
9331,"Manuscript shows how Truman Capote renamed his heroine Holly Golightly The final typescript for Breakfast at Tiffany’s, on which Truman Capote scratched out his original choice for the name of his heroine, Connie Gustafso …",Books
9332,No one remembers much about my babyhood. So was I born this way? An unexpected upshot of working from home has been reconnecting with my friends with babies. No longer separated by the tyranny of city-centre office …,Life-and-Style
9333,Enable and Frankie Dettori make their latest grasp at history together John Gosden compared Frankie Dettori to an artist with a blank canvas before the four-runner King George VI & Queen Elizabeth Stakes at Ascot on Satur …,Sport
9334,"Why is Marvel taking its sweet time over Deadpool 3? In the two years since Deadpool 2 was released, it seems the entire world has changed out of all recognition. Hollywood, too. The biggest change in Ti …",Film
9335,"Labour was warned antisemitism report was deliberately misleading, leak reveals Labour’s most senior lawyer under Jeremy Corbyn formally warned the party that an internal report on antisemitism was deliberately misleading and reli …",Politics
9336,"Do you really need it - or only want it? Here's how to tell the difference As anyone who counts a three-year-old among their acquaintances will know, there’s a fiery purity to the will of a small child that’s difficult to opp …",Life-and-Style
9337,"Should I end my affair with a married woman who has a young child? I am in love with a married woman who has a young child. We have been lovers for six years, having met before she got married or pregnant. Until recen …",Life-and-Style
9338,Marshals condemn refusal to test them for Covid-19 at British Grand Prix British marshals have expressed anger and disappointment that they will not be tested for Covid-19 at the forthcoming British Grand Prix and the 70th …,Sport
9339,Rises in UK retail sales and business activity boost Covid-19 recovery hopes Hopes of a rapid recovery in Britain’s economy from the coronavirus lockdown have been boosted by a summer rebound in retail sales and the strongest m …,Business
9340,'Major' breakthrough in Covid-19 drug makes UK professors millionaires Three professors at the University of Southampton school of medicine have this week made a “major breakthrough” in the treatment of coronavirus patien …,Business
9341,Transport for London calls for second bailout to survive coronavirus fares slump Transport for London is seeking its second taxpayer bailout this year after warning it would need almost £5bn to get through to 2022. The London trans …,UK-News
9342,Windies field work pays off as Chase and Cornwall answer captain's call Jason Holder is a softly spoken West Indies captain but that does not mean his words do not carry weight and before the third Test there was a point h …,Sport
9343,"Boris Johnson admits government could have handled crisis differently in early months – as it happened Boris Johnson admitted the government could have handled the UK’s coronavirus outbreak differently and there were lessons to be learned, including on …",Politics
9344,"Shine on: from catwalks to TikTok, lip gloss is back from the 90s As a teenager in the 90s, lip gloss was boss. I was never without a couple of Lancôme Juicy Tubes rolling around in my high school backpack, I smeared …",Life-and-Style
9345,"US and Russia to hold talks on regulating militarisation of space US and Russian officials will meet in Vienna on Monday to discuss whether and how to regulate the militarisation of space, in the wake of an alleged R …",US-News
9346,"Sebastian Coe: 'I was prepared to die with blood in my boots for the 1500m' Precisely 40 years since the greatest two-act drama in British sporting history played out at the Moscow Olympics, Sebastian Coe still recalls every s …",Sport
9347,Covid-19 is Big Pharma’s chance to impress. But who’ll do best? It was the press announcement heard around the world: a potential Covid-19 vaccine from the University of Oxford and pharmaceutical company AstraZenec …,Business
9348,"Negotiations over US Covid-19 relief bill remain in flux as key benefit expires Negotiations over America’s next Covid-19 rescue bill remained in flux on Friday, as the virus posed new risks to parts of the midwest and south, the …",US-News
9349,"Pelosi rejects temporary jobless aid extension as comprehensive plan flounders in Senate – as it happened A San Francisco bus driver was assaulted with a bat after he asked three passengers to comply with the city’s health orders and wear a mask, the AP re …",US-News
9350,'That’s an illegal order': veterans challenge Trump's officers in Portland The Black Lives Matter protest in Portland looked to be winding down last Saturday night when US marine corps veteran Duston Obermeyer noticed a phala …,US-News
9351,Blind date: 'We discussed geography teachers as good date options' Eleanor on Anushrut What were you hoping for? Someone outdoorsy and intelligent. My friends say I should date a geography teacher. First impressions? …,Life-and-Style
9352,"Tim Dowling: this will be my last wetsuit. Trying it on may kill me My wife and I are in Cornwall, visiting friends. This has required us to do things we have not attempted in months: packing clothes, driving long dist …",Life-and-Style
9353,Moscow-on-Thames: Soviet-born billionaires and their ties to UK's political elite Businesspeople born in the Soviet Union play a significant role in British business and politics. Some have given money to political parties. Others h …,UK-News
9354,English music venues to receive £2.25m in emergency pandemic aid Culture secretary Oliver Dowden has announced plans to save around 150 grassroots music venues from insolvency while cashflow is limited for venues sh …,Music
9355,Fontaines DC: ‘There’s the great lie of the rock star who doesn’t care what people think’ You tend to know what to expect from the blurb that accompanies a band’s new album. There will almost certainly be talk of a “journey” or an “evolutio …,Music
9356,"America 'staring down the barrel of martial law', Oregon senator warns America is “staring down the barrel of martial law” as it approaches the presidential election, a US senator from Oregon has warned as Donald Trump cr …",US-News
9357,UK demand for new vegan food products soars in lockdown The number of trademarks registered for new vegan food and drink products in the UK more than doubled to a record high last year. Latest figures revea …,Life-and-Style
9358,"Eilidh McIntyre: 'I'll be nervous about the Olympics going ahead until I'm at the start line' Eilidh McIntyre offers profuse apologies that are completely unnecessary. A gentle question about her likely emotions this week, when she would have e …",Sport
9359,"Streaming: the Barbican's new Cinema on Demand After four long months of home entertainment under lockdown, any new streaming service, big or boutique, feels like a treat to be seized upon. However …",Film
9360,"Why a generation is choosing to be child-free When I think that it won’t hurt too much, I imagine the children I will not have. Would they be more like me or my partner? Would they have inherited …",Books
9361,'Nobody’s ever seen anything like this': how coronavirus turned the US election upside down Mar-a-Lago was the place to see and be seen for guests who paid thousands of dollars for the privilege on New Year’s Eve. Diamonds and furs abounded o …,US-News
9362,"Dressed to Kill at 40: Brian De Palma's thrilling yet problematic shocker The distance between Brian De Palma’s Dressed to Kill and its source of inspiration, Alfred Hitchcock’s Psycho, is 20 years. The distance between Dres …",Film
9363,Emperors of the Deep by William McKeever review – how sharks are misunderstood America’s fear of sharks began in the summer of 1916. During a 10-day period four people were killed in the sea off New Jersey and one seriously injur …,Books
9364,How to protect summer vegetables from mildew As summer swirls around our plants – rain and sun and rain again – other things start to grow. Tiny airborne spores float about looking for a surface …,Life-and-Style
9365,"Gabriel Bergmoser: 'There is a brand of country Australian masculinity that is particularly threatening' Gabriel Bergmoser’s debut adult novel, The Hunted, is dark as all get-out, an Australian horror-thriller that manages to combine Wolf Creek, The Hills …",Books
9366,"Classical home listening: Mozart, mambo, Miss Julie and more • Cuban musicians have an ability to switch from classical to jazz to salsa with a chameleon versatility the rest of us can only envy. No boundaries, …",Music
9367,Police investigate grime artist Wiley's antisemitic tweets Police are investigating after the grime artist Wiley posted a tirade of antisemitic comments on Twitter and Instagram. The musician has been dropped …,Music
9368,"Idiot Prayer: Nick Cave Alone at Alexandra Palace review – utterly magnetic A few weeks ago, in the vast, empty expanse of the West Hall in London’s Alexandra Palace, Nick Cave sat alone at a piano and sang 21 songs from acros …",Music
9369,"Star treatment for Depp trial branded ‘galling’ by lawyers amid huge backlog Johnny Depp’s libel trial has been described as “galling” by lawyers at a time when the criminal justice system is struggling with a massive backlog, …",Film
9370,"Stage Mother review – feelgood drag film falls flat Jacki Weaver’s Maybelline Metcalf is a tough Texan mama bear and director of her small-town church choir, a fine fit for the Australian actor’s natura …",Film
9371,"Make an entrance: why the first view of your home is crucial Your exterior entranceway speaks volumes about your personal tastes, your horticultural prowess (or otherwise) and what lies within. The demands are m …",Life-and-Style
9372,"Signs of July slowdown hint at a hit-and-miss economic recovery It appeared from business surveys last week that Britain’s private sector was surging back to life. But on the streets of Harlow, Essex, opinions abou …",Business
9373,"Enable and Frankie Dettori surge to historic King George victory After Frankie Dettori won his fourth King George on Doyen in 2004, the Queen, no less, reminded him on the winner’s rostrum that Lester Piggott had wo …",Sport
9374,"Cooking eased my exile and became my homage to the lives of immigrants ‘Now you better behave and don’t cry!” was the warning from my mother, shot with a stern look to show she was deadly serious. We disembarked from the …",Life-and-Style
9375,Peter Green: Fleetwood Mac co-founder dies aged 73 Tributes have been paid to Fleetwood Mac co-founder Peter Green after he died “peacefully in his sleep” aged 73. A statement from Swan Turton solicito …,Music
9376,"Bryan Washington: 'My next book is a gay slacker dramedy' Bryan Washington’s 2019 debut short story collection, Lot, was winner of the Dylan Thomas prize and listed as one of Barack Obama’s favourite books of …",Books
9377,"Renato Paratore wins British Masters while Lee Westwood voices fears After a highly successful hosting of the British Masters, it would never have been the intention of Lee Westwood to overshadow a comprehensive success …",Sport
9378,England dominate West Indies after Stuart Broad's assault England’s four-pronged pace attack prevailed to take charge of the game. It was almost a mirror image of the 1980s when Clive Lloyd had to decide whet …,Sport
9379,"Stuart Broad says he and Jimmy Anderson are 'getting better and better' It seems Stuart Broad and Jimmy Anderson aren’t finished yet. After splitting four wickets for 34 runs between them against West Indies, Broad promise …",Sport
9380,"The Morrison government's hypocrisy on debt and deficit is galling And just like that, debt and deficit no longer really mattered. On Thursday the treasurer and the finance minster announced that the deficit for 2019- …",Business
9381,Antisemitism: Labour warns of cash crisis as cases grow Labour will this week be formally notified of a batch of potentially costly new legal actions over antisemitism – days after a warning was issued to t …,Politics
9382,"Sinclair delays interview containing Fauci Covid-19 conspiracy theory Sinclair Television said on Saturday it would delay airing an interview with a conspiracy theorist who claims baselessly that Dr Anthony Fauci, the co …",US-News
9383,Three Extinction Rebellion activists held after Thames rig protest Three Extinction Rebellion activists were arrested and taken into custody after locking themselves to a rig in the middle of the Thames to protest aga …,UK-News
9384,"Peter Green: Fleetwood Mac founder and guitar hero of the British blues scene Peter Green, who has died at the age of 73, was one of the great heroes, and great casualties, of the British blues scene, back in its glory days in t …",Music
9385,Donald Trump golfs with NFL great Brett Favre at Bedminster club Donald Trump hit the links with football great Brett Favre on Saturday at his golf club in the suburban New Jersey hamlet of Bedminster. White House d …,Sport
9386,"Observer killer sudoku Click here to access the print version. Normal Sudoku rules apply, except the numbers in the cells contained within grey lines add up to the figures i …",Life-and-Style
9387,"Hard to find: what the shortages in household items say about how we live now In early April, fearing his hard-won shoulders would shrink into nothing over lockdown, my husband attempted to buy some weights. He spent hours searc …",Life-and-Style
9388,"From the archive: Montreal Olympics, ‘the troubled games’, 1976 The Observer Magazine rightly referred to the Montreal Olympics as ‘The troubled games’ (15 August 1976). ‘Just as the sacred Olympic flame flickered …",Life-and-Style
9389,"Brighten up with bold colours and glossy skin Thanks to Zoom, we’re now staring at – critiquing – our own reflection more than ever. Narcissists are in their element, but for everyone else it’s to …",Life-and-Style
